data;

set PROF := DOC0052 DOC0064 DOC0067 DOC0073 DOC0074;

set DISCI := DISC00003A DISC00003B DISC00007A DISC00034A DISC00034B;

set SALA := SAL0002 SAL0003 SAL0009;

set COMBO := CMB0035 CMB0036 CMB0037 CMB0038 CMB0039 CMB0040 CMB0041 CMB0042 CMB0043 CMB0044 CMB0045 CMB0046 CMB0047 CMB0048 CMB0049 CMB0050 CMB0051 CMB0052;

set HORARIO :=  HOR001 HOR002 HOR003 HOR004;

set SEMESTRE :=  S1 S2 S3 S4 S5 S6 S7 S8 S9 S10;

set CURSO :=  CRS001;

set TURNO :=  MANHA TARDE;

param:		MINHp	MAXHp:=
DOC0052		12		20
DOC0064		12		20
DOC0067		12		20
DOC0073		12		20
DOC0074		12		20;

param Z :=
[DOC0052, *, *, *](tr):
					DISC00003A	DISC00003B	DISC00007A	DISC00034A	DISC00034B:=
CMB0039 MANHA		0		0		0		100		100
CMB0039 TARDE		0		0		0		0		0
CMB0040 MANHA		0		0		0		0		0
CMB0040 TARDE		0		0		0		100		100
CMB0041 MANHA		0		0		0		100		100
CMB0041 TARDE		0		0		0		0		0
CMB0042 MANHA		0		0		0		0		0
CMB0042 TARDE		0		0		0		100		100
CMB0043 MANHA		0		0		0		100		100
CMB0043 TARDE		0		0		0		0		0
CMB0044 MANHA		0		0		0		0		0
CMB0044 TARDE		0		0		0		100		100
CMB0045 MANHA		0		0		0		100		100
CMB0045 TARDE		0		0		0		0		0
CMB0046 MANHA		0		0		0		0		0
CMB0046 TARDE		0		0		0		100		100
CMB0047 MANHA		0		0		0		100		100
CMB0047 TARDE		0		0		0		0		0
CMB0048 MANHA		0		0		0		100		100
CMB0048 TARDE		0		0		0		0		0
CMB0049 MANHA		0		0		0		0		0
CMB0049 TARDE		0		0		0		100		100
CMB0050 MANHA		0		0		0		0		0
CMB0050 TARDE		0		0		0		100		100
CMB0051 MANHA		0		0		0		100		100
CMB0051 TARDE		0		0		0		0		0
CMB0052 MANHA		0		0		0		0		0
CMB0052 TARDE		0		0		0		100		100

[DOC0074, *, *, *](tr):
					DISC00003A	DISC00003B	DISC00007A	DISC00034A	DISC00034B:=
CMB0035 MANHA		100		100		0		100		100
CMB0035 TARDE		0		0		0		0		0
CMB0036 MANHA		0		0		0		0		0
CMB0036 TARDE		100		100		0		100		100
CMB0037 MANHA		100		100		0		100		100
CMB0037 TARDE		0		0		0		0		0
CMB0038 MANHA		0		0		0		0		0
CMB0038 TARDE		100		100		0		100		100
CMB0039 MANHA		100		100		0		100		100
CMB0039 TARDE		0		0		0		0		0
CMB0040 MANHA		0		0		0		0		0
CMB0040 TARDE		100		100		0		100		100
CMB0041 MANHA		100		100		0		100		100
CMB0041 TARDE		0		0		0		0		0
CMB0042 MANHA		0		0		0		0		0
CMB0042 TARDE		100		100		0		100		100
CMB0043 MANHA		100		100		0		100		100
CMB0043 TARDE		0		0		0		0		0
CMB0044 MANHA		0		0		0		0		0
CMB0044 TARDE		100		100		0		100		100
CMB0045 MANHA		100		100		0		100		100
CMB0045 TARDE		0		0		0		0		0
CMB0046 MANHA		0		0		0		0		0
CMB0046 TARDE		100		100		0		100		100
CMB0047 MANHA		100		100		0		100		100
CMB0047 TARDE		0		0		0		0		0
CMB0048 MANHA		100		100		0		100		100
CMB0048 TARDE		0		0		0		0		0
CMB0049 MANHA		0		0		0		0		0
CMB0049 TARDE		100		100		0		100		100
CMB0050 MANHA		0		0		0		0		0
CMB0050 TARDE		100		100		0		100		100
CMB0051 MANHA		100		100		0		100		100
CMB0051 TARDE		0		0		0		0		0
CMB0052 MANHA		0		0		0		0		0
CMB0052 TARDE		100		100		0		100		100

;
param: Nc :=
DISC00003A	4
DISC00003B	4
DISC00007A	4
DISC00034A	4
DISC00034B	4;

param Sem :=
[*, *,CRS001]:
		S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	:=
DISC00003A	1	1	0	0	0	0	0	0	0	0	
DISC00003B	1	1	0	0	0	0	0	0	0	0	
DISC00007A	0	1	1	0	0	0	0	0	0	0	
DISC00034A	1	0	0	0	0	0	0	0	0	0	
DISC00034B	1	0	0	0	0	0	0	0	0	0	;

param Tsalas := 6;

param Cap :=
SAL0002 55
SAL0003 55
SAL0009 55;

param TamTurma :=
DISC00003A 55
DISC00003B 55
DISC00007A 55
DISC00034A 55
DISC00034B 55;

param CompTH:
		HOR001	HOR002	HOR003	HOR004:=
MANHA		1		1		0		0
TARDE		0		0		1		1;

param CompHC:
		HOR001	HOR002	HOR003	HOR004:=
CMB0035		1		1		0		0
CMB0036		0		0		1		1
CMB0037		1		1		0		0
CMB0038		0		0		1		1
CMB0039		1		1		0		0
CMB0040		0		0		1		1
CMB0041		1		1		0		0
CMB0042		0		0		1		1
CMB0043		1		1		0		0
CMB0044		0		0		1		1
CMB0045		1		1		0		0
CMB0046		0		0		1		1
CMB0047		1		1		0		0
CMB0048		1		1		0		0
CMB0049		0		0		1		1
CMB0050		0		0		1		1
CMB0051		1		1		0		0
CMB0052		0		0		1		1;

param Sobh:
		HOR001	HOR002	HOR003	HOR004:=
HOR001		1		0		0		0
HOR002		0		1		0		0
HOR003		0		0		1		0
HOR004		0		0		0		1;

param Sob:
		CMB0035	CMB0036	CMB0037	CMB0038	CMB0039	CMB0040	CMB0041	CMB0042	CMB0043	CMB0044	CMB0045	CMB0046	CMB0047	CMB0048	CMB0049	CMB0050	CMB0051	CMB0052:=
CMB0035		1		0		0		0		1		0		1		0		1		0		0		0		1		0		0		0		0		0
CMB0036		0		1		0		0		0		1		0		1		0		1		0		0		0		0		0		1		0		0
CMB0037		0		0		1		0		0		0		0		0		0		0		1		0		0		1		0		0		0		0
CMB0038		0		0		0		1		0		0		0		0		0		0		0		1		0		0		1		0		0		0
CMB0039		1		0		0		0		1		0		1		0		0		0		0		0		1		0		0		0		1		0
CMB0040		0		1		0		0		0		1		0		1		0		0		0		0		0		0		0		1		0		1
CMB0041		1		0		0		0		1		0		1		0		1		0		0		0		1		0		0		0		1		0
CMB0042		0		1		0		0		0		1		0		1		0		1		0		0		0		0		0		1		0		1
CMB0043		1		0		0		0		0		0		1		0		1		0		0		0		0		0		0		0		0		0
CMB0044		0		1		0		0		0		0		0		1		0		1		0		0		0		0		0		0		0		0
CMB0045		0		0		1		0		0		0		0		0		0		0		1		0		0		0		0		0		0		0
CMB0046		0		0		0		1		0		0		0		0		0		0		0		1		0		0		0		0		0		0
CMB0047		1		0		0		0		1		0		1		0		0		0		0		0		1		0		0		0		0		0
CMB0048		0		0		1		0		0		0		0		0		0		0		0		0		0		1		0		0		0		0
CMB0049		0		0		0		1		0		0		0		0		0		0		0		0		0		0		1		0		0		0
CMB0050		0		1		0		0		0		1		0		1		0		0		0		0		0		0		0		1		0		0
CMB0051		0		0		0		0		1		0		1		0		0		0		0		0		0		0		0		0		1		0
CMB0052		0		0		0		0		0		1		0		1		0		0		0		0		0		0		0		0		0		1;
